MCC,MCC Category,MCC Truncated,Dropdown Name
7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)",Lodging ,7011:-Lodging 
5411,Grocery Stores,Grocery Stores,5411:-Grocery Stores
5651,Family Clothing Stores,Family Clothing Stores,5651:-Family Clothing Stores
5541,Service Stations ( with or without ancillary services),Service Stations,5541:-Service Stations
5812,Eating places and Restaurants,Eating places and Restaurants,5812:-Eating places and Restaurants
5944,"Watch, Clock, Jewelry, and Silverware Stores","Clock, Jewelry and Silverware Stores","5944:-Clock, Jewelry and Silverware Stores"
5311,Department Stores,Department Stores,5311:-Department Stores
8062,Hospitals,Hospitals,8062:-Hospitals
5699,Miscellaneous Apparel and Accessory Shops,Apparel and Accessory Shops,5699:-Apparel and Accessory Shops
5999,Miscellaneous and Specialty Retail Stores,Miscellaneous and Specialty Retail Stores,5999:-Miscellaneous and Specialty Retail Stores
5309,Duty Free Store,Duty Free Store,5309:-Duty Free Store
5251,Hardware Stores,Hardware Stores,5251:-Hardware Stores
5533,"Automotive Parts, Accessories Stores",Automotive Parts,5533:-Automotive Parts
5912,Drug Stores and Pharmacies,Drug Stores and Pharmacies,5912:-Drug Stores and Pharmacies
5661,Shoe Stores,Shoe Stores,5661:-Shoe Stores
4812,Telecommunications Equipment including telephone sales,Telecommunications Equipment,4812:-Telecommunications Equipment
8220,"Colleges, Junior Colleges, Universities, and Professional Schools",Professional Schools,8220:-Professional Schools
4722,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,4722:-Travel Agencies and Tour Operations
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",Furniture & Hand Equipment Stores,5712:-Furniture & Hand Equipment Stores
5814,Fast Food Restaurants,Fast Food Restaurants,5814:-Fast Food Restaurants
6300,"Insurance Sales, Underwriting, and Premiums",Insurance Sales,6300:-Insurance Sales
5722,Household Appliance Stores,Household Appliance Stores,5722:-Household Appliance Stores
7298,Health and Beauty Shops,Health and Beauty Shops,7298:-Health and Beauty Shops
5691,Men’s and Women’s Clothing Stores,Clothing Stores,5691:-Clothing Stores
5499,Misc. Food Stores – Convenience Stores and Specialty Markets,Misc. Food Stores,5499:-Misc. Food Stores
7230,Barber and Beauty Shops,Barber and Beauty Shops,7230:-Barber and Beauty Shops
7995,"Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)",Betting,7995:-Betting
4121,Taxicabs and Limousines,Taxicabs and Limousines,4121:-Taxicabs and Limousines
7538,Automotive Service Shops,Automotive Service Shops,7538:-Automotive Service Shops
5813,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",Alcoholic Beverages,5813:-Alcoholic Beverages
5932,antique shops,antique shops,5932:-antique shops
5422,Freezer and Locker Meat Provisioners,Freezer and Locker Meat Provisioners,5422:-Freezer and Locker Meat Provisioners
5942,Book Stores,Book Stores,5942:-Book Stores
7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Sport Promoters,7941:-Sport Promoters
4900,"Electric, Gas, Sanitary and Water Utilities",Home utilities,4900:-Home utilities
8043,"Opticians, Opticians Goods and Eyeglasses",Opticians,8043:-Opticians
7512,Car Rental Companies ( Not Listed Below),Car Rental Companies,7512:-Car Rental Companies
7992,Golf Courses – Public,Golf Courses ,7992:-Golf Courses 
8299,Schools and Educational Services ( Not Elsewhere Classified),Schools and Educational Services,8299:-Schools and Educational Services
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",Car and Truck Dealers,5511:-Car and Truck Dealers
5462,Bakeries,Bakeries,5462:-Bakeries
5013,Motor vehicle supplies and new parts,Motor vehicle supplies,5013:-Motor vehicle supplies
5045,"Computers, Computer Peripheral Equipment, Software",Computer Peripherals,5045:-Computer Peripherals
5065,Electrical Parts and Equipment,Electrical Equipment,5065:-Electrical Equipment
1520,General Contractors-Residential and Commercial,General Contractors,1520:-General Contractors
5977,Cosmetic Stores,Cosmetic Stores,5977:-Cosmetic Stores
7629,Electrical And Small Appliance Repair Shops,ElectricalAppliance Repair Shops,7629:-Electrical Appliance
5532,Automotive Tire Stores,Automotive Tire Stores,5532:-Automotive Tire Stores
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services and Health Practitioners,8099:-Medical Services
5641,Children’s and Infant’s Wear Stores,Kids Wear ,5641:-Kids Wear 
5941,Sporting Goods Stores,Sporting Goods Stores,5941:-Sporting Goods Stores
5970,Artist’s Supply and Craft Shops,Artists Supply and Craft Shops,5970:-Artists Supply and Craft Shops
5947,"Card Shops, Gift, Novelty, and Souvenir Shops",Souvenir Shops,5947:-Souvenir Shops
5943,"Stationery Stores, Office and School Supply Stores",Stationery Supply Stores,5943:-Stationery Supply Stores
5655,"Sports Apparel, Riding  Apparel Stores",Sports Apparel Stores,5655:-Sports Apparel Stores
7210,"Laundry, Cleaning, and Garment Services",Garment Services,7210:-Garment Services
5697,"Tailors, Seamstress, Mending, and Alterations",Tailors and Alterations,5697:-Tailors and Alterations
5231,Glass Stores,Glass Stores,5231:-Glass Stores
7832,Motion Picture Theaters,Motion Picture Theaters,7832:-Motion Picture Theaters
5949,"Sewing, Needle, Fabric, and Price Goods Stores",Price Goods Stores,5949:-Price Goods Stores
5331,Variety Stores,Variety Stores,5331:-Variety Stores
4789,"Transportation Services, Not elsewhere classified)",Transportation Services,4789:-Transportation Services
5451,Dairy Products Stores,Dairy Products Stores,5451:-Dairy Products Stores
8699,Membership Organizations ( Not Elsewhere Classified),Membership Organizations,8699:-Membership Organizations
5072,Hardware Equipment and Supplies,Hardware Equipment,5072:-Hardware Equipment
7922,"Theatrical Producers (Except Motion Pictures), Ticket Agencies",Theatrical Producers,7922:-Theatrical Producers
7699,Repair Shops and Related Services –Miscellaneous,Repair Shops,7699:-Repair Shops
5732,Electronic Sales,Electronic Sales,5732:-Electronic Sales
8021,Dentists and Orthodontists,Dentists and Orthodontists,8021:-Dentists and Orthodontists
7999,Recreation Services (Not Elsewhere Classified),Recreation Services,7999:-Recreation Services
5946,Camera and Photographic Supply Stores,Photographic Supply Stores,5946:-Photographic Supply Stores
5111,"Stationery, Office Supplies, Printing, and Writing Paper",Office Stationary Supplies,5111:-Office Stationary Supplies
5921,"Package Stores – Beer, Wine, and Liquor",Package Stores,5921:-Package Stores
3501,HOLIDAY INN EXPRESS,HOLIDAY INN EXPRESS,3501:-HOLIDAY INN EXPRESS
7221,Photographic Studios,Photographic Studios,7221:-Photographic Studios
5131,"Piece Goods, Notions, and Other Dry Goods",Dry Goods,5131:-Dry Goods
8071,Medical and Dental Laboratories,Medical and Dental Laboratories,8071:-Laboratories
5945,"Hobby, Toy, and Game Shops",Game Shops,5945:-Game Shops
7032,Sporting and Recreational Camps,Sporting and Recreational Camps,7032:-Sporting Camps
4111,"Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.",Passenger Transportation,4111:-Passenger Transportation
5571,Motorcycle Dealers,Motorcycle Dealers,5571:-Motorcycle Dealers
5734,Computer Software Stores,Computer Software Stores,5734:-Computer Software Stores
5714,"Drapery, Window Covering and Upholstery Stores",Drapery and Upholstery Stores,5714:-Drapery and Upholstery Stores
8042,Optometrists and Ophthalmologists,Optometrists and Ophthalmologists,8042:-Optometrists and Ophthalmologists
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies",Hospital Equipment,5047:-Hospital Equipment
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",Amusement Parks,7996:-Amusement Parks
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,2741:-Miscellaneous Publishing
5139,Commercial Footwear,Commercial Footwear,5139:-Commercial Footwear
5200,Home Supply Warehouse Stores,Home Supply,5200:-Home Supply
5940,Bicycle Shops – Sales and Service,Bicycle Shops,5940:-Bicycle Shops
8398,Charitable and Social Service Organizations,Charitable and Social Service,8398:-Charitable and Social Service
5199,"Non-durable Goods, Not Elsewhere Classified",Non-durable Goods,5199:-Non-durable Goods
4119,Ambulance Services,Ambulance Services,4119:-Ambulance Services
5983,"Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum",Fuel,5983:-Fuel
5992,Florists,Florists,5992:-Florists
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Membership Clubs,7997:-Membership Clubs
7531,Automotive Body Repair Shops,Automotive Body Repair Shops,7531:-Automotive Body Repair Shops
7998,"Aquariums, Sea-aquariums, Dolphinariums","Aquariums, Sea","7998:-Aquariums, Sea"
4215,Courier Services – Air or Ground,Courier Services,4215:-Courier Services
8641,"Civic, Fraternal, and Social Associations",Social Associations,8641:-Social Associations
8011,Doctors and Physicians (Not Elsewhere Classified),Doctors and Physicians,8011:-Doctors and Physicians
5733,"Music Stores, Musical Instruments, Piano Sheet Music",Music Stores,5733:-Music Stores
5192,"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers","5192:-Books, Periodicals, and Newspapers"
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified",Computer Maintenance,7379:-Computer Maintenance
5948,Leather Foods Stores,Leather Foods Stores,5948:-Leather Foods Stores
7392,"Management, Consulting, and Public Relations Services",Public Relations Services,7392:-Public Relations Services
4816,computer networking services,computer networking services,4816:-computer networking services
8041,Chiropractors,Chiropractors,8041:-Chiropractors
6513,real estate agents & managers rentals,real estate agents,6513:-real estate agents
5631,Women’s Accessory and Specialty Shops,Womens Accessory,5631:-Womens Accessory
5039,"Construction Materials, Not Elsewhere Classified",Construction Materials,5039:-Construction Materials
5211,Lumber and Building Materials Stores,Building Materials,5211:-Building Materials
3351,AFFILIATED AUTO RENTAL,AFFILIATED AUTO RENTAL,3351:-AFFILIATED AUTO RENTAL
5561,"Recreational and Utility Trailers, Camp Dealers",Recreational and Utility Trailers,5561:-Recreational and Utility Trailers
5085,"Industrial Supplies, Not Elsewhere Classified",Industrial Supplies,5085:-Industrial Supplies
5441,Candy Stores,Candy Stores,5441:-Candy Stores
7631,"Watch, Clock, and Jewelry Repair","Watch, Clock, and Jewelry Repair","7631:-Watch, Clock, and Jewelry Repair"
5933,Pawn Shops and Salvage Yards,Pawn Shops and Salvage Yards,5933:-Pawn Shops and Salvage Yards
5074,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment,5074:-Plumbing and Heating Equipment
9311,Tax Payments,Tax Payments,9311:-Tax Payments
7333,"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics",7333:-Photography
7311,Advertising Services,Advertising Services,7311:-Advertising Services
5198,"Paints, Varnishes, and Supplies",Paint Supplies,5198:-Paint Supplies
742,Veterinary Services,Veterinary Services,742:-Veterinary
5137,Men’s Women’s and Children’s Uniforms and Commercial Clothing,Uniforms and Commercial Clothing,5137:-Uniforms and Commercial Clothing
7342,Disinfecting Services,Disinfecting Services,7342:-Disinfecting Services
5937,Antique Reproductions,Antique Reproductions,5937:-Antique Reproductions
7841,Video Tape Rental Stores,Video Tape Rental Stores,7841:-Video Tape Rental Stores
8050,Nursing and Personal Care Facilities,Nursing and Personal Care Facilities,8050:-Nursing and Personal Care Facilities
763,Agricultural Co-operatives,Agricultural Co,763:-Agricultural Co
7991,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,7991:-Tourist Attractions and Exhibits
5971,Art Dealers and Galleries,Art Dealers and Galleries,5971:-Art Dealers and Galleries
7261,Funeral Service and Crematories,Funeral Service and Crematories,7261:-Funeral Service and Crematories
7299,Miscellaneous Personal Services ( not elsewhere classifies),Personal Services,7299:-Personal Services
5964,Direct Marketing – Catalog Merchant,"Direct Marketing, Catalog Merchant","5964:-Direct Marketing, Catalog Merchant"
8999,Professional Services ( Not Elsewhere Defined),Professional Services,8999:-Professional Services
5811,Caterers,Caterers,5811:-Caterers
1711,Air Conditioning Contractors – Sales and Installation,Air Conditioning,1711:-Air Conditioning
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Equipment Rental and Leasing Services,7394:-Equipment Rental and Leasing Services
5169,"Chemicals and Allied Products, Not Elsewhere Classified",Chemicals and Allied Products,5169:-Chemicals and Allied Products
5046,"Commercial Equipment, Not Elsewhere Classified",Commercial Equipment,5046:-Commercial Equipment
5599,automotive dealers,automotive dealers,5599:-automotive dealers
7641,"Furniture, Furniture Repair, and Furniture Refinishing",Furniture Refinishing,7641:-Furniture Refinishing
5271,Mobile Home Dealers,Mobile Home Dealers,5271:-Mobile Home Dealers
5122,"Drugs, Drug Proprietors, and Druggist’s Sundries",Drugs,5122:-Drugs
5713,Floor Covering Stores,Floor Covering Stores,5713:-Floor Covering Stores
5611,Men’s and Boy’s Clothing and Accessories Stores,Mens Wear,5611:-Mens Wear
7623,Air Conditioning and Refrigeration Repair Shops,Air Conditioning and Refrigeration Repair Shops,7623:-Air Conditioning and Refrigeration Repair Shops
5995,"Pet Shops, Pet Foods, and Supplies Stores",Pet Shops,5995:-Pet Shops
5094,"Precious Stones and Metals, Watches and Jewelry",Watches and Jewelry,5094:-Watches and Jewelry
5975,"Hearing Aids – Sales, Service, and Supply Stores",Hearing Aids,5975:-Hearing Aids
5261,Nurseries – Lawn and Garden Supply Store,Nurseries,5261:-Nurseries
1740,Insulation – Contractors,Insulation,1740:-Insulation
7534,Tire Re-treading and Repair Shops,Tire Re,7534:-Tire Shops
7349,"Cleaning and Maintenance, Janitorial Services",Cleaning and Maintenance,7349:-Cleaning and Maintenance
7692,Welding Repair,Welding Repair,7692:-Welding Repair
5021,Office and Commercial Furniture,Office and Commercial Furniture,5021:-Office and Commercial Furniture
7372,"Computer Programming, Integrated Systems Design and Data Processing Services",Computer Programming,7372:-Computer Programming
7297,Massage Parlors,Massage Parlors,7297:-Massage Parlors
8351,Child Care Services,Child Care Services,8351:-Child Care Services
7911,"Dance Halls, Studios and Schools","Dance Halls, Studios and Schools","7911:-Dance Halls, Studios and Schools"
7542,Car Washes,Car Washes,7542:-Car Washes
7523,Automobile Parking Lots and Garages,Automobile Parking Lots and Garages,7523:-Automobile Parking Lots and Garages
5399,Misc. General Merchandise,Misc. General Merchandise,5399:-Misc. General Merchandise
8111,Legal Services and Attorneys,Legal Services and Attorneys,8111:-Legal Services and Attorneys
5962,Direct Marketing – Travel Related Arrangements Services,Direct Marketing Travel,5962:-Direct Marketing Travel
5193,"Florists’ Supplies, Nursery Stock and Flowers",Florists Supplies,5193:-Florists Supplies
6012,Financial Institutions – Merchandise and Services,Financial Institutions,6012:-Financial Institutions
7622,Radio Repair Shops,Radio Repair Shops,7622:-Radio Repair Shops
5735,Record Shops,Record Shops,5735:-Record Shops
1799,"Contractors – Special Trade, Not Elsewhere Classified",Special Trade,1799:-Special Trade
7276,Tax Preparation Service,Tax Preparation Service,7276:-Tax Preparation Service
7399,"Business Services, Not Elsewhere Classified",Business Services,7399:-Business Services
5976,Orthopedic Goods Prosthetic Devices,Orthopedic Goods Prosthetic Devices,5976:-Orthopedic Goods
3441,advantage rent a car,advantage rent a car,3441:-advantage rent a car
5965,Direct Marketing – Catalog and Catalog and Retail Merchant,Direct Marketing Catalog,5965:-Direct Marketing Catalog
1771,Concrete Work Contractors,Concrete Work Contractors,1771:-Concrete Work Contractors
4814,"Telecommunication Services, including Local and Long Distance Calls, Credit Card Calls, Calls Through Use of Magnetic Stripe Reading Telephones, and Fax Services",Telecommunication Services,4814:-Telecommunication Services
5300,Wholesale Clubs,Wholesale Clubs,5300:-Wholesale Clubs
7519,Motor Home and Recreational Vehicle Rentals,Vehicle Rentals,7519:-Vehicle Rentals
9406,Government-Owned Lotteries (Non-U.S. region),Government-Owned Lotteries,9406:-Government-Owned Lotteries
5950,Glassware/Crystal Stores,Glassware/Crystal Stores,5950:-Glassware/Crystal Stores
7535,Automotive Paint Shops,Paint Shops,7535:-Paint Shops
3657,OBEROI HOTELS,OBEROI HOTELS,3657:-OBEROI HOTELS
8661,Religious Organizations,Religious Organizations,8661:-Religious Organizations
780,Landscaping and Horticultural Services,Landscaping and Horticultural Services,780:-Landscaping and Horticultural Services
3504,HILTON HOTELS,HILTON HOTELS,3504:-HILTON HOTELS
7332,PHOTOCOPYING,PHOTOCOPYING,7332:-PHOTOCOPYING
